%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetometer.x,field.magnetometer.y,field.magnetometer.z,field.pressure,field.temperature
1506925604737355679,34762,1506925604688364000,imu0,0.0,0.0,0.0,0.0,0.0,-0.0013962634016,0.00977384381117,0.179788583333,-9.65955025,-0.302371708333,-0.621714285714,0.185,0.037,1006.22,0.0
1506925604737365615,34763,1506925604693364000,imu0,0.0,0.0,0.0,0.0,0.0,0.0013962634016,0.00977384381117,0.179788583333,-9.65955025,-0.286027291667,-0.621714285714,0.185,0.037,1006.22,0.0
1506925604737370041,34764,1506925604698364000,imu0,0.0,0.0,0.0,0.0,0.00349065850399,0.00418879020479,0.00698131700798,0.204305208333,-9.61868920833,-0.24516625,-0.628,0.189,0.0371428571429,1006.28,0.0
1506925604737392809,34765,1506925604703364000,imu0,0.0,0.0,0.0,0.0,0.00418879020479,0.0013962634016,0.00418879020479,0.24516625,-9.61868920833,-0.269682875,-0.628,0.189,0.0371428571429,1006.28,0.0
1506925604737399293,34766,1506925604708364000,imu0,0.0,0.0,0.0,0.0,0.00977384381117,-0.00209439510239,0.00698131700798,0.261510666667,-9.65137804167,-0.2941995,-0.628,0.189,0.0371428571429,1006.28,0.0
1506925604737403560,34767,1506925604713364000,imu0,0.0,0.0,0.0,0.0,0.00837758040957,0.00349065850399,0.00698131700798,0.236994041667,-9.60234479167,-0.269682875,-0.628,0.189,0.0371428571429,1006.28,0.0
1506925604737446722,34768,1506925604718364000,imu0,0.0,0.0,0.0,0.0,0.00418879020479,0.000698131700798,0.00418879020479,0.302371708333,-9.586000375,-0.24516625,-0.618,0.185,0.0392857142857,1006.18,0.0
1506925604787090543,34769,1506925604723364000,imu0,0.0,0.0,0.0,0.0,0.00349065850399,-0.00488692190558,0.00418879020479,0.277855083333,-9.610517,-0.253338458333,-0.618,0.185,0.0392857142857,1006.18,0.0
1506925604787103453,34770,1506925604728364000,imu0,0.0,0.0,0.0,0.0,0.00279252680319,0.00279252680319,0.00907571211037,0.277855083333,-9.59417258333,-0.228821833333,-0.618,0.185,0.0392857142857,1006.18,0.0
1506925604787112469,34771,1506925604733364000,imu0,0.0,0.0,0.0,0.0,0.00209439510239,0.00349065850399,0.00977384381117,0.253338458333,-9.67589466667,-0.269682875,-0.618,0.185,0.0392857142857,1006.18,0.0
1506925604787117605,34772,1506925604738364000,imu0,0.0,0.0,0.0,0.0,0.00628318530718,0.0,0.00628318530718,0.204305208333,-9.59417258333,-0.302371708333,-0.626,0.185,0.037,1006.24,0.0
1506925604787121370,34773,1506925604743364000,imu0,0.0,0.0,0.0,0.0,0.00418879020479,0.000698131700798,0.00698131700798,0.204305208333,-9.57782816667,-0.2941995,-0.626,0.185,0.037,1006.24,0.0
1506925604787137141,34774,1506925604748364000,imu0,0.0,0.0,0.0,0.0,0.00349065850399,0.00279252680319,0.00907571211037,0.204305208333,-9.586000375,-0.286027291667,-0.626,0.185,0.037,1006.24,0.0
1506925604787143701,34775,1506925604753364000,imu0,0.0,0.0,0.0,0.0,-0.000698131700798,0.00209439510239,0.00837758040957,0.220649625,-9.610517,-0.318716125,-0.626,0.185,0.037,1006.24,0.0
1506925604787161695,34776,1506925604758364000,imu0,0.0,0.0,0.0,0.0,-0.000698131700798,0.00349065850399,0.00279252680319,0.212477416667,-9.65955025,-0.277855083333,-0.613857142857,0.181,0.0391428571429,1006.42,0.0
1506925604787168364,34777,1506925604763364000,imu0,0.0,0.0,0.0,0.0,0.00418879020479,-0.00349065850399,0.0013962634016,0.2941995,-9.62686141667,-0.302371708333,-0.613857142857,0.181,0.0391428571429,1006.42,0.0
1506925604787191694,34778,1506925604768364000,imu0,0.0,0.0,0.0,0.0,0.00488692190558,0.000698131700798,0.00349065850399,0.2941995,-9.64320583333,-0.261510666667,-0.613857142857,0.181,0.0391428571429,1006.42,0.0
1506925604837688802,34779,1506925604773364000,imu0,0.0,0.0,0.0,0.0,0.00977384381117,0.000698131700798,0.00488692190558,0.286027291667,-9.610517,-0.24516625,-0.623714285714,0.187,0.037,1006.32,0.0
1506925604837766463,34780,1506925604778364000,imu0,0.0,0.0,0.0,0.0,0.00698131700798,0.00488692190558,0.00488692190558,0.269682875,-9.586000375,-0.277855083333,-0.623714285714,0.187,0.037,1006.32,0.0
1506925604837775769,34781,1506925604783364000,imu0,0.0,0.0,0.0,0.0,0.00418879020479,0.0,0.00907571211037,0.310543916667,-9.610517,-0.2941995,-0.623714285714,0.187,0.037,1006.32,0.0
1506925604837784345,34782,1506925604788364000,imu0,0.0,0.0,0.0,0.0,0.00349065850399,0.0013962634016,0.00837758040957,0.261510666667,-9.635033625,-0.286027291667,-0.623714285714,0.187,0.037,1006.32,0.0
1506925604837789649,34783,1506925604793364000,imu0,0.0,0.0,0.0,0.0,0.00488692190558,0.000698131700798,0.00837758040957,0.220649625,-9.610517,-0.253338458333,-0.626,0.187,0.0394285714286,1006.18,0.0
1506925604837793519,34784,1506925604798364000,imu0,0.0,0.0,0.0,0.0,0.00558505360638,0.0013962634016,0.00628318530718,0.204305208333,-9.60234479167,-0.286027291667,-0.626,0.187,0.0394285714286,1006.18,0.0
1506925604837829105,34785,1506925604803364000,imu0,0.0,0.0,0.0,0.0,0.00907571211037,0.00209439510239,0.00698131700798,0.179788583333,-9.61868920833,-0.261510666667,-0.626,0.187,0.0394285714286,1006.18,0.0
1506925604837838406,34786,1506925604808364000,imu0,0.0,0.0,0.0,0.0,0.00488692190558,-0.000698131700798,0.00628318530718,0.228821833333,-9.61868920833,-0.269682875,-0.626,0.187,0.0394285714286,1006.18,0.0
1506925604837843722,34787,1506925604813364000,imu0,0.0,0.0,0.0,0.0,0.00418879020479,0.00279252680319,0.00558505360638,0.228821833333,-9.610517,-0.326888333333,-0.615857142857,0.183,0.0391428571429,1006.22,0.0
1506925604837849422,34788,1506925604818364000,imu0,0.0,0.0,0.0,0.0,0.00279252680319,0.00418879020479,0.00418879020479,0.261510666667,-9.71675570833,-0.302371708333,-0.615857142857,0.183,0.0391428571429,1006.22,0.0
1506925604887695296,34789,1506925604823364000,imu0,0.0,0.0,0.0,0.0,0.00349065850399,-0.0013962634016,0.00628318530718,0.253338458333,-9.66772245833,-0.236994041667,-0.615857142857,0.183,0.0391428571429,1006.22,0.0
1506925604887712471,34790,1506925604828364000,imu0,0.0,0.0,0.0,0.0,0.00279252680319,0.00209439510239,0.00767944870878,0.261510666667,-9.69223908333,-0.253338458333,-0.615857142857,0.183,0.0391428571429,1006.22,0.0
